state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Bhiwani,2015,43,34.15714285714286,19.900000000000002,0.1,0,7,12.900000000000002,0,34.55,7
Haryana,Bhiwani,2015,44,29.400000000000002,16.714285714285715,1.3,1,6,10.557142857142859,3,26.32,7
Haryana,Bhiwani,2015,45,29.228571428571428,17.12857142857143,0.2,0,6,11.071428571428571,4,24.01,7
Haryana,Bhiwani,2015,46,29.17142857142857,16.285714285714285,0.8999999999999999,0,5,11.557142857142859,3,24.94,7
Haryana,Bhiwani,2015,47,27.52857142857143,13.12857142857143,0.4,0,6,10.057142857142859,3,25.65,7
Haryana,Bhiwani,2015,48,26.557142857142857,12.585714285714285,0.1,0,7,13.0,1,21.97,7
Haryana,Bhiwani,2015,49,26.4,11.7,0.0,0,1,9.4,1,2.88,1
Haryana,Bhiwani,2016,35,32.225,24.8,1.7,1,2,16.5,0,18.24,4
Haryana,Bhiwani,2016,36,34.214285714285715,24.885714285714283,0.0,0,7,18.514285714285712,0,41.76,7
Haryana,Bhiwani,2016,37,35.81428571428571,24.928571428571427,0.2,0,6,11.357142857142858,2,37.13,7
Haryana,Bhiwani,2016,38,36.1,25.542857142857144,1.6,0,5,12.571428571428571,2,35.56,7
Haryana,Bhiwani,2016,39,37.0,25.67142857142857,0.7,0,6,10.285714285714286,1,34.82,7
Haryana,Bhiwani,2016,40,34.82857142857143,24.32857142857143,10.5,2,3,10.085714285714285,3,29.03,7
Haryana,Bhiwani,2016,41,35.614285714285714,19.32857142857143,0.0,0,7,13.0,1,39.72,7
Haryana,Bhiwani,2016,42,35.285714285714285,19.085714285714285,0.0,0,7,16.585714285714285,0,41.51,7
Haryana,Bhiwani,2016,43,33.628571428571426,17.2,0.0,0,7,13.971428571428572,1,35.54,7
Haryana,Bhiwani,2016,44,31.099999999999998,16.342857142857145,0.0,0,7,9.942857142857141,4,27.87,7
Haryana,Bhiwani,2016,45,30.542857142857144,13.928571428571429,0.0,0,7,12.228571428571428,1,29.46,7
Haryana,Bhiwani,2016,46,28.114285714285717,12.271428571428572,0.0,0,7,11.085714285714285,2,25.41,7
Haryana,Bhiwani,2016,47,29.099999999999998,13.328571428571427,0.0,0,7,14.542857142857143,1,28.83,7
Haryana,Bhiwani,2016,48,28.666666666666668,12.266666666666666,0.0,0,3,12.433333333333332,0,11.41,3
Haryana,Bhiwani,2017,35,30.36666666666667,24.666666666666668,10.0,2,1,18.7,0,9.19,3
Haryana,Bhiwani,2017,36,34.542857142857144,25.271428571428572,5.3,2,3,13.985714285714284,0,33.05,7
Haryana,Bhiwani,2017,37,36.94285714285714,26.52857142857143,3.0,1,5,13.342857142857143,1,33.67,7
Haryana,Bhiwani,2017,38,36.41428571428572,23.585714285714285,0.3,0,6,16.32857142857143,0,38.05,7
Haryana,Bhiwani,2017,39,38.028571428571425,23.62857142857143,0.0,0,7,15.700000000000001,0,42.14,7
Haryana,Bhiwani,2017,40,37.51428571428572,22.142857142857142,0.0,0,7,14.799999999999999,1,41.48,7
Haryana,Bhiwani,2017,41,36.17142857142857,21.571428571428573,0.0,0,7,11.5,2,35.15,7
Haryana,Bhiwani,2017,42,35.628571428571426,18.97142857142857,0.0,0,7,12.071428571428571,0,33.94,7
Haryana,Bhiwani,2017,43,32.871428571428574,17.37142857142857,0.0,0,7,12.214285714285714,1,29.46,7
