state,district,year,iso_week,dm_kg,dm_tonnes
Haryana,Fatehabad,2014,48,265075.61161192274,265.07561161192274
Haryana,Fatehabad,2015,40,152283.34903366564,152.28334903366564
Haryana,Fatehabad,2015,41,1892657.6024300065,1892.6576024300066
Haryana,Fatehabad,2015,42,4603172.900721935,4603.172900721935
Haryana,Fatehabad,2015,43,21976011.493119504,21976.011493119506
Haryana,Fatehabad,2015,44,62513159.85639892,62513.15985639892
Haryana,Fatehabad,2015,45,171987047.70904258,171987.04770904258
Haryana,Fatehabad,2015,46,126148294.28405404,126148.29428405403
Haryana,Fatehabad,2015,47,38005031.43579567,38005.031435795674
Haryana,Fatehabad,2015,48,8127650.968702754,8127.650968702754
Haryana,Fatehabad,2015,49,146652.0891066555,146.6520891066555
Haryana,Fatehabad,2016,39,1010.1472434685224,1.0101472434685224
Haryana,Fatehabad,2016,40,40880.578219213276,40.88057821921328
Haryana,Fatehabad,2016,41,1515585.3698984105,1515.5853698984106
Haryana,Fatehabad,2016,42,12494744.446740767,12494.744446740768
Haryana,Fatehabad,2016,43,79374918.85485353,79374.91885485353
Haryana,Fatehabad,2016,44,177121359.6828641,177121.3596828641
Haryana,Fatehabad,2016,45,147187589.57367846,147187.58957367847
Haryana,Fatehabad,2016,46,56785984.32147535,56785.98432147535
Haryana,Fatehabad,2016,47,10395451.56701339,10395.45156701339
Haryana,Fatehabad,2016,48,208210.4750808327,208.21047508083268
Haryana,Fatehabad,2017,39,16671.876237951274,16.671876237951274
Haryana,Fatehabad,2017,40,584358.0099921813,584.3580099921813
Haryana,Fatehabad,2017,41,2441343.0073784636,2441.3430073784634
Haryana,Fatehabad,2017,42,11990402.634295208,11990.40263429521
Haryana,Fatehabad,2017,43,46719301.84270749,46719.30184270749
Haryana,Fatehabad,2017,44,121882191.75906478,121882.19175906478
Haryana,Fatehabad,2017,45,119523847.18803808,119523.84718803808
Haryana,Fatehabad,2017,46,74005530.41306928,74005.53041306928
Haryana,Fatehabad,2017,47,34871829.0969827,34871.8290969827
Haryana,Fatehabad,2017,48,6555206.568758,6555.206568758
Haryana,Fatehabad,2018,40,496033.9199006773,496.0339199006773
Haryana,Fatehabad,2018,41,1996786.217390543,1996.786217390543
Haryana,Fatehabad,2018,42,9881120.579959102,9881.120579959103
Haryana,Fatehabad,2018,43,32003170.61360577,32003.170613605773
Haryana,Fatehabad,2018,44,80590303.5835384,80590.30358353839
Haryana,Fatehabad,2018,45,131836024.37041603,131836.02437041604
Haryana,Fatehabad,2018,46,102956529.78466406,102956.52978466406
Haryana,Fatehabad,2018,47,40890403.04286635,40890.40304286635
Haryana,Fatehabad,2018,48,6913667.9593146015,6913.667959314602
Haryana,Gurgaon,2012,40,175.2910159451868,0.1752910159451868
Haryana,Gurgaon,2012,41,302.2031633829299,0.3022031633829299
Haryana,Gurgaon,2012,42,406.651873229712,0.406651873229712
Haryana,Gurgaon,2012,43,416.3060037669251,0.41630600376692506
Haryana,Gurgaon,2012,44,660.0053966477569,0.6600053966477569
Haryana,Gurgaon,2012,45,812.9509289419074,0.8129509289419073
Haryana,Gurgaon,2012,46,4481.5041607535695,4.48150416075357
Haryana,Gurgaon,2012,47,3472.044969800677,3.472044969800677
Haryana,Gurgaon,2012,48,530.569092332252,0.530569092332252
Haryana,Gurgaon,2013,40,0.00026141009326641505,2.61410093266415e-07
Haryana,Gurgaon,2013,41,0.024019204078253916,2.4019204078253918e-05
Haryana,Gurgaon,2013,42,5.206013552964806,0.005206013552964806
Haryana,Gurgaon,2013,43,152.37822250693267,0.15237822250693267
Haryana,Gurgaon,2013,44,169574.0429423224,169.57404294232242
Haryana,Gurgaon,2013,45,87416.2997155642,87.4162997155642
Haryana,Gurgaon,2013,46,48857.43079770237,48.85743079770237
Haryana,Gurgaon,2013,47,8402.533223207123,8.402533223207124
Haryana,Gurgaon,2013,48,77.96233486488383,0.07796233486488383
Haryana,Gurgaon,2014,40,0.0,0.0
Haryana,Gurgaon,2014,41,9.416534494961827e-34,9.416534494961828e-37
Haryana,Gurgaon,2014,42,0.0015319306805293687,1.5319306805293687e-06
Haryana,Gurgaon,2014,43,4.7656498092273445,0.004765649809227344
Haryana,Gurgaon,2014,44,6.5135709588052005e-09,6.5135709588052005e-12
Haryana,Gurgaon,2014,45,0.0,0.0
Haryana,Gurgaon,2014,46,0.0,0.0
Haryana,Gurgaon,2014,47,0.0,0.0
Haryana,Gurgaon,2014,48,0.0,0.0
Haryana,Gurgaon,2015,40,0.0,0.0
Haryana,Gurgaon,2015,41,2.337440188899586e-13,2.3374401888995856e-16
Haryana,Gurgaon,2015,42,7257.175188266299,7.2571751882663
