state,district,year,dm_kg,dm_tonnes
Punjab,Kapurthala,2013,208877378.38809326,208877.37838809326
Punjab,Kapurthala,2014,229651883.27928382,229651.88327928382
Punjab,Kapurthala,2015,267698693.6673056,267698.6936673056
Punjab,Kapurthala,2016,256228326.66999868,256228.32666999867
Punjab,Kapurthala,2017,155393155.28714088,155393.15528714086
Punjab,Kapurthala,2018,97190937.3461217,97190.9373461217
Punjab,Ludhiana,2012,680292205.1468102,680292.2051468102
Punjab,Ludhiana,2013,993696624.3672817,993696.6243672817
Punjab,Ludhiana,2014,932799499.0122848,932799.4990122848
Punjab,Ludhiana,2015,1140585338.1066985,1140585.3381066986
Punjab,Ludhiana,2016,954914841.5168779,954914.8415168779
Punjab,Ludhiana,2017,438290225.81636345,438290.22581636347
Punjab,Ludhiana,2018,354444728.22511864,354444.72822511866
Punjab,Mansa,2012,285598444.97669274,285598.4449766927
Punjab,Mansa,2013,590855947.7855213,590855.9477855213
Punjab,Mansa,2014,426327796.54341096,426327.796543411
Punjab,Mansa,2015,548284410.2327104,548284.4102327104
Punjab,Mansa,2016,458809000.3317997,458809.0003317997
Punjab,Mansa,2017,524037813.37577355,524037.81337577355
Punjab,Mansa,2018,432623696.5792071,432623.69657920714
Punjab,Moga,2012,619418257.2789474,619418.2572789474
Punjab,Moga,2013,1001725743.174665,1001725.743174665
Punjab,Moga,2014,896251183.5939814,896251.1835939814
Punjab,Moga,2015,1131987634.2223716,1131987.6342223715
Punjab,Moga,2016,897611923.7854793,897611.9237854793
Punjab,Moga,2017,544918211.9761062,544918.2119761062
Punjab,Moga,2018,580904152.1781355,580904.1521781355
Punjab,Muktsar,2012,451877141.3051231,451877.1413051231
Punjab,Muktsar,2013,809980097.5316325,809980.0975316325
Punjab,Muktsar,2014,655329824.3989316,655329.8243989316
Punjab,Muktsar,2015,846814468.8774879,846814.4688774879
Punjab,Muktsar,2016,685852495.1652117,685852.4951652117
Punjab,Muktsar,2017,775143664.4075264,775143.6644075264
Punjab,Muktsar,2018,833428970.2747092,833428.9702747093
Punjab,Pathankot,2012,793238.5902330963,793.2385902330963
Punjab,Pathankot,2013,286676.61081043765,286.67661081043764
Punjab,Pathankot,2014,944714.3579801267,944.7143579801267
Punjab,Pathankot,2015,1454730.0730477714,1454.7300730477714
Punjab,Pathankot,2016,1177573.5431513481,1177.573543151348
Punjab,Pathankot,2017,699268.6843653147,699.2686843653147
Punjab,Pathankot,2018,745824.9493027127,745.8249493027126
Punjab,Patiala,2012,524363558.67451227,524363.5586745123
Punjab,Patiala,2013,783856229.8651137,783856.2298651137
Punjab,Patiala,2014,693217577.3780024,693217.5773780025
Punjab,Patiala,2015,764436534.4659201,764436.5344659201
Punjab,Patiala,2016,625561744.2646053,625561.7442646053
Punjab,Patiala,2017,608462523.9527836,608462.5239527836
Punjab,Patiala,2018,471149648.4870589,471149.6484870589
Punjab,Rupnagar,2012,38012109.210361734,38012.109210361734
Punjab,Rupnagar,2013,47878874.5236732,47878.8745236732
Punjab,Rupnagar,2014,40210428.701602474,40210.428701602475
Punjab,Rupnagar,2015,46267271.893975064,46267.27189397506
Punjab,Rupnagar,2016,52307312.42748398,52307.31242748399
Punjab,Rupnagar,2017,25118419.628815368,25118.41962881537
Punjab,Rupnagar,2018,5832271.369081164,5832.271369081163
Punjab,Sahibzada Ajit Singh Nagar,2012,20088313.31765259,20088.31331765259
Punjab,Sahibzada Ajit Singh Nagar,2013,19131220.74801444,19131.22074801444
Punjab,Sahibzada Ajit Singh Nagar,2014,13658018.091382261,13658.01809138226
Punjab,Sahibzada Ajit Singh Nagar,2015,25221994.709268443,25221.99470926844
Punjab,Sahibzada Ajit Singh Nagar,2016,17599862.795304865,17599.862795304864
Punjab,Sahibzada Ajit Singh Nagar,2017,17695903.367949016,17695.903367949017
Punjab,Sahibzada Ajit Singh Nagar,2018,7006234.704656986,7006.234704656986
Punjab,Sangrur,2012,787215424.5545073,787215.4245545072
Punjab,Sangrur,2013,1205611575.5261645,1205611.5755261646
Punjab,Sangrur,2014,1179326059.4185328,1179326.0594185328
Punjab,Sangrur,2015,1171068491.2287393,1171068.4912287393
Punjab,Sangrur,2016,1082296511.8345492,1082296.5118345493
Punjab,Sangrur,2017,844116546.4696052,844116.5464696052
Punjab,Sangrur,2018,883677396.8903954,883677.3968903954
Punjab,Shahid Bhagat Singh Nagar,2012,74206634.21822825,74206.63421822825
Punjab,Shahid Bhagat Singh Nagar,2013,85736782.23262876,85736.78223262876
Punjab,Shahid Bhagat Singh Nagar,2014,102201048.04103245,102201.04804103245
Punjab,Shahid Bhagat Singh Nagar,2015,108376425.92089906,108376.42592089907
