state,district,crm_machines,crm_subsidy_lakh,happy_seeder,super_seeder,source_kind,area_km2,crm_state_total,crm_share,dose_z,machines_per_1000km2,is_punjab
Punjab,Tarn Taran,4788.0,,665.0,1807.0,actual_machines_cum_2018_22,2424.7981124720823,90422.0,0.05295171529052664,0.3121127902685405,1974.5973800345105,1
Punjab,Moga,4533.0,,888.0,1290.0,actual_machines_cum_2018_22,2239.501663409542,90422.0,0.05013160514034195,0.1947094944789125,2024.1110216898471,1
Punjab,Faridkot,4382.0,,569.0,1241.0,actual_machines_cum_2018_22,1466.0383441829429,90422.0,0.04846165756121298,0.12518832716819162,2989.0077687171206,1
Punjab,Kapurthala,3936.0,,624.0,770.0,actual_machines_cum_2018_22,1658.657559529965,90422.0,0.0435292296122625,-0.08015233919327541,2373.0033829981126,1
Punjab,Gurdaspur,3738.0,,503.0,1649.0,actual_machines_cum_2018_22,2616.1598053439966,90422.0,0.041339497025060276,-0.17131254533581008,1428.811799785485,1
Punjab,Amritsar,2880.0,,472.0,690.0,actual_machines_cum_2018_22,2688.4138842204948,90422.0,0.03185065581385061,-0.5663401052867937,1071.2636238430437,1
Punjab,Fatehgarh Sahib,2268.0,,293.0,498.0,actual_machines_cum_2018_22,1145.2076477925834,90422.0,0.025082391453407356,-0.8481080151819009,1980.4268722546756,1
Punjab,Hoshiarpur,1572.0,,170.0,494.0,actual_machines_cum_2018_22,3376.5109488637427,90422.0,0.01738514963172679,-1.1685499519253562,465.5693477105432,1
Punjab,Shahid Bhagat Singh Nagar,1213.0,,123.0,473.0,actual_machines_cum_2018_22,1277.170943237629,90422.0,0.013414876910486387,-1.3338353761938913,949.7553999506474,1
Punjab,Rupnagar,904.0,,134.0,286.0,actual_machines_cum_2018_22,1369.035876631262,90422.0,0.009997566963791997,-1.4761005463860288,660.3187070775973,1
Punjab,Sahibzada Ajit Singh Nagar,642.0,,38.0,132.0,actual_machines_cum_2018_22,1100.637589091348,90422.0,0.007100042025170865,-1.5967266777463525,583.2982685336189,1
Punjab,Pathankot,131.0,,5.0,34.0,actual_machines_cum_2018_22,999.2958389672825,90422.0,0.001448762469310566,-1.8319936744071363,131.09231009645885,1
