state,district,year,wind_mean,wind_calm_days,precip_sum,rain_days,tmax_mean,et0_sum
Haryana,Gurgaon,2021,12.654098360655738,17,21.3,2,29.124590163934425,223.83
Haryana,Gurgaon,2022,12.788524590163934,18,75.6,6,28.418032786885245,206.25
Haryana,Gurgaon,2023,12.62295081967213,18,28.5,4,29.21311475409836,221.62
Haryana,Gurgaon,2024,10.757377049180327,30,0.5,0,30.06065573770492,219.23
Haryana,Hisar,2015,11.947540983606556,20,5.300000000000001,1,31.124590163934425,252.96
Haryana,Hisar,2016,11.704918032786884,19,16.2,3,32.001639344262294,270.22
Haryana,Hisar,2017,11.575409836065576,17,5.0,1,30.86393442622951,236.97
Haryana,Hisar,2018,12.23606557377049,24,9.3,2,29.86393442622951,225.3
Haryana,Hisar,2019,13.044262295081968,15,47.0,7,29.585245901639347,213.06
Haryana,Hisar,2020,11.921311475409835,16,16.0,2,30.29344262295082,251.1
Haryana,Hisar,2021,12.63934426229508,9,9.3,3,29.44918032786885,220.88
Haryana,Hisar,2022,12.783606557377048,10,9.7,3,29.342622950819678,217.31
Haryana,Hisar,2023,11.665573770491804,21,15.1,4,29.003278688524592,207.14
Haryana,Hisar,2024,10.08688524590164,37,0.1,0,30.842622950819678,217.92
Haryana,Jhajjar,2015,11.89672131147541,20,10.2,3,30.940983606557378,250.17000000000002
Haryana,Jhajjar,2016,12.350819672131147,21,12.1,2,31.24098360655738,264.42
Haryana,Jhajjar,2017,11.798360655737707,21,0.7,0,31.02950819672131,237.70000000000002
Haryana,Jhajjar,2018,12.040983606557377,20,6.0,1,29.778688524590162,222.47
Haryana,Jhajjar,2019,12.337704918032788,14,44.7,8,29.66393442622951,211.75
Haryana,Jhajjar,2020,12.044262295081968,18,17.8,2,29.668852459016392,238.07
Haryana,Jhajjar,2021,12.460655737704919,16,26.7,3,29.450819672131146,221.3
Haryana,Jhajjar,2022,12.437704918032788,16,81.7,5,28.763934426229508,204.96
Haryana,Jhajjar,2023,11.772131147540984,23,12.9,5,29.04754098360656,210.99
Haryana,Jhajjar,2024,10.659016393442624,29,0.2,0,30.445901639344264,217.91
Haryana,Jind,2015,12.09672131147541,17,21.5,5,30.644262295081965,245.2
Haryana,Jind,2016,12.272131147540984,19,14.1,2,31.71311475409836,268.88
Haryana,Jind,2017,10.878688524590164,28,0.7,0,29.76065573770492,215.73
Haryana,Jind,2018,12.11967213114754,21,12.700000000000001,3,28.67049180327869,209.85
